price,discount,suburb_type,product_name,super_category
0.39,0,Affluent,Apple,Fruits
0.39,0,Affluent,Apple,Fruits
0.39,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
4,0,Affluent,Apple,Fruits
4.29,0,Affluent,Apple,Fruits
4.29,0,Affluent,Apple,Fruits
4.29,0,Affluent,Apple,Fruits
4.49,0,Affluent,Apple,Fruits
4.5,0,Affluent,Apple,Fruits
4.5,0,Affluent,Apple,Fruits
4.69,0,Affluent,Apple,Fruits
4.75,0,Affluent,Apple,Fruits
4.75,0,Affluent,Apple,Fruits
4.79,0,Affluent,Apple,Fruits
4.79,0,Affluent,Apple,Fruits
4.99,0,Affluent,Apple,Fruits
4.99,0,Affluent,Apple,Fruits
4.99,0,Affluent,Apple,Fruits
5,0,Affluent,Apple,Fruits
5.19,0,Affluent,Apple,Fruits
5.29,0,Affluent,Apple,Fruits
5.49,0,Affluent,Apple,Fruits
5.49,0,Affluent,Apple,Fruits
5.49,0,Affluent,Apple,Fruits
5.49,0,Affluent,Apple,Fruits
5.49,0,Affluent,Apple,Fruits
5.5,0,Affluent,Apple,Fruits
5.79,0,Affluent,Apple,Fruits
5.79,0,Affluent,Apple,Fruits
5.79,0,Affluent,Apple,Fruits
5.79,0,Affluent,Apple,Fruits
5.99,0,Affluent,Apple,Fruits
6,0,Affluent,Apple,Fruits
6,0,Affluent,Apple,Fruits
6,0,Affluent,Apple,Fruits
6.99,0,Affluent,Apple,Fruits
6.99,0,Affluent,Apple,Fruits
7.49,0,Affluent,Apple,Fruits
7.99,0,Affluent,Apple,Fruits
7.99,0,Affluent,Apple,Fruits
10.49,0,Affluent,Apple,Fruits
10.5,0,Affluent,Apple,Fruits
0.39,0,Affluent,Apple,Fruits
3.65,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
3.99,0,Affluent,Apple,Fruits
4.29,0,Affluent,Apple,Fruits
